policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
gnn:supervised,0,small,data/instances/setcover/transfer_500r_1000c_0.05d/instance_20.lp,101,270,6.03,0.0,optimal,6.202776680991519,6.209815124999977
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,9107,11022,138.43,0.0,optimal,143.30381999298697,143.32339140000005
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_1.lp,12509,14126,193.43,0.0,optimal,199.94959547603503,200.39535166900004
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,1179,1583,46.77,0.0,optimal,48.21369910298381,48.18748916699997
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_2.lp,1431,2156,38.15,0.0,optimal,39.49017672997434,39.55435906499997
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,109,315,25.89,0.0,optimal,26.521642216015607,26.506176199000038
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_3.lp,233,552,15.01,0.0,optimal,15.599728556990158,15.617444236000097
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,197,423,24.74,0.0,optimal,25.46664450695971,25.426314305999995
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_4.lp,247,505,13.87,0.0,optimal,14.290309607982635,14.307448994000083
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,4648,6314,122.21,0.05476010584693987,userinterrupt,125.83849780203309,125.86048164700003
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_5.lp,1,1,0.44,6.989830576231996,userinterrupt,0.4869523450033739,0.4876221179999902
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,1,1,0.3,5.712660898993631,userinterrupt,0.39184204302728176,0.3538740939999343
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_6.lp,0,0,0.01,1e+20,userinterrupt,0.03387490304885432,0.03410393000001477
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,0,0,0.1,1e+20,userinterrupt,0.1677543490077369,0.13329260500006512
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_7.lp,1,0,0.13,1e+20,userinterrupt,0.16051661100937054,0.16091139700006352
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,0,0,0.07,1e+20,userinterrupt,0.12097301601897925,0.09816270900000745
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_8.lp,1,0,0.13,1e+20,userinterrupt,0.1599431709619239,0.16036814700009927
internal:relpscost,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,0,0,0.06,1e+20,userinterrupt,0.12295268103480339,0.09809706900000492
gnn:supervised,0,medium,data/instances/setcover/transfer_1000r_1000c_0.05d/instance_9.lp,1,0,0.13,1e+20,userinterrupt,0.15941957500763237,0.15978492800002186
